id,name,phone,platform,city,assigned_zone_id,joined_date,fraud_score
ed50b1f4-91fc-4bcb-9055-198d362c2ac9,Worker_001,9887846414,instamart,Bengaluru,z-indiranagar,2026-03-01,3.1203728088487304
75541e08-2d78-4640-8f22-f26b32d8014b,Worker_002,9998717130,blinkit,Mumbai,z-powai,2025-10-23,37.82057895135501
6bd086dd-197b-4245-8afa-3c29df92f236,Worker_003,9103344769,blinkit,Mysuru,z-mysuru,2025-05-12,10.495128632644757
8d8fa59c-aeb3-4d91-bfc4-84b7a22b4198,Worker_004,9580404538,instamart,Jaipur,z-jaipur,2025-09-15,7.327236865873834
40b2031c-859b-45c4-8c18-1332194a9960,Worker_005,9496917567,blinkit,Mumbai,z-powai,2025-05-19,13.606150771755594
31e9cbfd-2e7f-4450-b2f9-c9d593ca3e8f,Worker_006,9954206851,blinkit,Jaipur,z-jaipur,2025-07-23,54.2708251269958
10d6de88-8575-4398-8324-6a2faf9bc6fb,Worker_007,9891274835,instamart,Lucknow,z-lucknow,2025-07-01,36.71942605576092
721da592-4aad-465e-be7d-e20076a69310,Worker_008,9798027879,zepto,Mumbai,z-andheri,2026-01-27,10.934205586865593
6cc47e6c-f925-4e8e-8cbc-94fb4312e435,Worker_009,9496360081,zepto,Bengaluru,z-koramangala,2025-09-01,79.74136752138244
2e23cc4e-ce4d-427d-a9c1-af5dacbbc240,Worker_010,9189482491,blinkit,Mysuru,z-mysuru,2025-05-30,16.89067697356303
9e4d8ee9-68f0-41c7-a552-f4c0713d8b64,Worker_011,9472593431,zepto,Mumbai,z-bandra,2025-07-13,12.140684953733693
0529696d-4200-4fdd-9d90-2b0aad4ae113,Worker_012,9809816108,blinkit,Jaipur,z-jaipur,2025-04-29,8.468029614127392
24010b0c-eb8b-42d8-8963-80557306f0d0,Worker_013,9123717335,instamart,Mumbai,z-andheri,2025-12-31,14.226839054972999
69172dd0-9175-428c-9ba6-dfa6cb2dc917,Worker_014,9418019332,zepto,Mumbai,z-powai,2026-02-09,18.299193510875615
d5b11e31-757b-4f7f-b376-7cbdf3d50e70,Worker_015,9447454369,blinkit,Jaipur,z-jaipur,2026-01-19,6.503666440534941
c11b6919-4615-4727-a536-7f32bfcd1873,Worker_016,9206179285,instamart,Mumbai,z-powai,2025-08-07,2.391884918766034
89f074b5-a3b6-4211-9b1d-e87b3b1e4f21,Worker_017,9363183577,instamart,Mumbai,z-powai,2025-03-28,0.8086717907686269
21f2ad5b-a133-43c1-8ceb-bb4438c21d16,Worker_018,9563390156,instamart,Lucknow,z-lucknow,2025-04-04,66.82052056318902
7034c99a-63a7-43cf-82c3-96745c719d1d,Worker_019,9939735171,zepto,Delhi,z-cp,2025-08-03,8.207658460712594
c2d3316e-faa4-42d9-96c0-6b696e0b9a08,Worker_020,9524623942,instamart,Delhi,z-cp,2025-12-26,17.609356780305156
2830c9a9-0e69-4869-ba06-fc967de3c8c1,Worker_021,9672964792,blinkit,Lucknow,z-lucknow,2025-06-11,16.07344153798229
382c4ef4-08a0-430f-bbbc-83704eeff85b,Worker_022,9268973642,zepto,Delhi,z-cp,2025-04-08,7.1259567615394985
92208019-bc16-491c-99da-9700ac79253d,Worker_023,9734324250,zepto,Mumbai,z-andheri,2025-11-26,7.051377126683381
6b68c40e-82a0-4808-92c4-9a3ca300b24d,Worker_024,9146159303,instamart,Mumbai,z-powai,2025-05-08,46.105390523536514
6f223058-4d38-491e-a27d-ada188deacb7,Worker_025,9928540878,instamart,Mumbai,z-powai,2025-10-13,10.375812434867322
b35f32e4-d276-45d1-abce-022a6e1cabf8,Worker_026,9378710077,blinkit,Jaipur,z-jaipur,2026-01-29,4.937521256772024
40fb5932-725a-4c91-a539-3a3fa2d57f3a,Worker_027,9318520688,blinkit,Bengaluru,z-indiranagar,2025-12-31,5.3356202855057
365f4c72-0a2f-4dae-947d-ff73647af77e,Worker_028,9321099573,instamart,Mumbai,z-bandra,2025-08-10,18.165317719333075
2fed33f3-6532-4204-b3b9-ce6de541f1cc,Worker_029,9232863028,zepto,Mumbai,z-powai,2025-07-18,13.442710948117572
7a49a74c-e771-4f85-a453-5eb42c866277,Worker_030,9328233509,blinkit,Mysuru,z-mysuru,2025-09-05,7.976488848891061
59f593c5-b48a-446b-8ca5-e19ff3deac38,Worker_031,9135213498,zepto,Mumbai,z-andheri,2025-07-06,11.817858863764837
476c2020-0163-42e9-b838-2e0826076085,Worker_032,9151939266,instamart,Delhi,z-cp,2025-10-25,67.25863952047249
79bfad1f-c0f0-4256-aa20-3565e33ded9d,Worker_033,9733816999,instamart,Delhi,z-cp,2025-03-27,2.750418882919865
a2fc2c6c-ce94-47b6-87aa-a34978d31ed3,Worker_034,9850303382,instamart,Jaipur,z-jaipur,2025-05-28,5.158832554303112
e9aa8d94-b8cd-4763-b6d3-1b8ce8a3b058,Worker_035,9171450611,blinkit,Lucknow,z-lucknow,2025-03-02,1.8620553561179842
